Pays;Annee;actu_moyenne;actu_top3;consulat_moyenne;consulat_top3;guides_moyenne;guides_top3;loisirs_moyenne;loisirs_top3;politique_moyenne;politique_top3;religion_moyenne;religion_top3;reservations_moyenne;reservations_top3;sante_moyenne;sante_top3;stats_moyenne;stats_top3;tourisme_moyenne;tourisme_top3
Turquie;2010;0,397069955;2,193729808;-0,001281164;0,013685375;-0,029072307;-0,008523586;-0,004799321;0,011511272;0,049458948;0,833934207;0,030540358;0,339783567;-0,015734343;0,013138067;-0,014630611;0,013062808;0,025307;0,535057078;0,215023587;2,4000826
Turquie;2015;-0,300906145;1,91441722;-0,002466272;0,013244076;-0,017584333;0,118740286;0,008808712;0,127245703;0,267280695;0,865111705;-0,004613285;0,019959376;0,014797026;0,24319372;-0,017666984;-0,007081974;0,018143337;0,527740916;-0,397126498;1,147119992
Turquie;2019;-0,694112304;0,219771067;-0,001533388;0,027427213;-0,034749053;-0,023463141;0,00830702;0,128163313;0,464807111;0,938225124;0,030325837;0,264495727;-0,018078655;-0,000754851;-0,020694123;-0,017194384;-0,041279725;0,428626478;-0,592198007;0,315857585
Tuvalu;2005;-0,258286334;2,312765942;0,000238556;0,011787097;-0,026293815;0,070016451;0,002884969;0,109624743;-0,098449753;0,685199316;-0,012747112;0,022410538;-0,008007957;0,021498136;0,000348126;0,190375854;0,016403185;0,417944329;-0,303161088;2,198737325
Tuvalu;2010;0,014723021;2,034018354;-0,001108751;0,014563324;-0,019915936;0,039562132;-0,001254622;0,01622302;-0,258689421;0,267498676;-0,014352273;0,013059617;-0,002725207;0,032957441;-0,012926959;0,00778325;0,032708774;0,733286782;-0,007170456;1,755264107
Tuvalu;2015;-0,114916939;1,658653163;-0,001764715;0,010994255;0,002732506;0,229143094;-0,003485226;0,016001851;-0,174645523;0,153436556;-0,015077168;0,011678677;0,057676423;0,521654548;-0,007331179;0,03084643;-0,088267268;0,238736956;-0,098045865;1,20714671
Tuvalu;2019;-0,535331754;1,014882241;0,000803067;0,034191395;0,065416158;0,810929184;-0,006451527;-0,003114105;-0,057122352;0,461534917;-0,011551377;0,016311784;0,053123869;0,547512837;0,034119244;0,450866095;-0,037155797;0,684949712;-0,407447251;0,813366247
Ukraine;2005;-0,498917122;1,11347709;0,004419523;0,045275213;-0,033057723;-0,016449145;-0,006773119;0,000126846;0,257777051;0,859604644;-0,009485405;0,014297657;-0,014435898;0,01775888;0,038837595;0,744907592;0,092069474;1,285537811;-0,574536934;0,097202031
Ukraine;2010;-0,169354926;2,357480069;0,000789485;0,018963045;-0,014416044;0,134102768;-0,005136752;0,00474035;0,123435458;0,701578164;0,014053099;0,205850396;-0,002353945;0,091590603;-0,01237671;0,016996543;-0,015730289;0,379006454;-0,266158386;1,630516686
Ukraine;2015;-0,418349156;1,729457619;0,011396573;0,099601937;-0,032377248;-0,01261111;-0,004759198;0,013025017;0,461917834;0,897650272;0,007899411;0,15038485;-0,011661364;0,032111642;-0,015380443;0,013178711;0,097878531;0,654295682;-0,63714514;-0,074479329
Ukraine;2019;-0,705177816;-0,152526959;0,005132312;0,090939464;-0,035212859;-0,024284029;-0,007492939;-0,004369129;0,472610065;1,002461035;0,057711999;0,550822582;-0,013624263;0,013368108;0,028657528;0,403054958;0,042780996;0,724280807;-0,688876968;-0,475304081
Uruguay;2005;-0,053597509;2,037590316;0,001329117;0,028531761;0,009170125;0,580872704;0,033033639;0,487779459;-0,126386999;0,501867536;-0,014281944;0,016075664;-0,008074326;0,067476389;0,075192191;1,089598117;0,021659419;0,9527864;-0,160003259;2,035064822
Uruguay;2010;0,08964128;2,409107728;-0,003373636;0,009065962;0,092254994;1,115617617;-0,003322434;0,022805956;-0,003665453;0,679084502;-0,007629908;0,01842668;-0,011690848;0,028077779;-0,01690374;-0,00428727;-0,012911593;0,520698267;-0,11077632;2,349143966
Uruguay;2015;0,400432721;2,214640892;-0,003719363;0,006728685;-0,001308392;0,157658887;0,010183404;0,122330588;-0,139331617;0,499296362;0,012604564;0,19691827;0,023486596;0,248298112;-0,013818315;0,01845801;-0,09314291;0,239752269;0,263696383;2,349489177
Uruguay;2019;-0,438106847;1,175583594;0,007874975;0,099804941;0,048632225;0,672365952;0,035578234;0,351355185;0,190922115;0,879915719;0,055701859;0,540684286;-0,015306387;0,005304553;0,049604128;0,558088983;0,063138861;0,993648329;-0,465818818;1,164752136
Vanuatu;2005;0,222586088;2,18289278;-0,002604902;0,025597525;-0,017190367;0,086448118;0,003223849;0,098468172;-0,124140079;0,711053885;-0,010241327;0,052841082;0,000437112;0,128873041;-0,005187038;0,065021001;0,003416379;0,936173732;0,107215451;2,305749152
Vanuatu;2010;0,374189507;2,078362643;-0,001236572;0,020081614;-0,027069158;0,002024205;-0,007535149;-0,005199913;-0,1816454;0,477090347;-0,010314217;0,028635733;-0,006655041;0,050544581;-0,011889808;0,032016154;-0,105688906;0,245877301;0,520369869;2,238622497
Vanuatu;2015;0,022545634;2,151435745;0,000980448;0,029981023;-0,01353817;0,141784542;-0,006774981;-0,003738066;-0,058065159;0,491706688;0,046451298;0,535925954;0,012457674;0,228881389;-0,017376137;-0,002477943;-0,092089942;0,212998766;0,085437127;2,49184043
Vanuatu;2019;-0,251956108;1,103584356;0,007304962;0,072332687;-0,03143631;-0,014916267;-0,006131586;-0,001268549;-0,095091949;0,462994283;-0,011643419;0,016817682;-0,008390065;0,027213414;0,004886498;0,1928013;-0,009626205;0,821977715;-0,143678954;1,503405755
Vatican;2005;-0,610648191;0,747940956;-0,003234074;0,003531834;-0,02154631;0,061308152;-0,005113683;0,006252701;0,084636198;0,660729033;0,010020254;0,09337288;-0,005055556;0,085151972;-0,012813184;0,009258945;-0,046634042;0,429229237;-0,511676004;0,853639518
Vatican;2010;-0,365761863;1,786131788;-0,002471709;0,005780446;0,009630202;0,358041888;0,010059905;0,145212428;0,192173167;0,540693968;0,038160845;0,290584703;-0,01565289;0,001765745;-0,010016063;0,027069232;-0,097054724;0,124736384;-0,427459107;1,483958937
Vatican;2015;-0,341326591;1,577242902;-0,003605488;0,005854416;-0,024631963;0,03252895;-0,006378464;-0,002354647;0,053273822;0,52638545;0,025374961;0,255191819;0,005508677;0,180210371;-0,016388831;-0,002676091;-0,070791065;0,486258586;-0,308332131;1,370138772
