,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
30,Burundi,2005,tourisme,-0.6498209523540778,-0.0876920832216669,0.4107875332957711,-0.6842087740862287
31,Bénin,2005,tourisme,-0.4043607588022243,-0.0876920832216669,0.4107875332957711,-0.38544095172497944
32,Cambodge,2005,tourisme,0.23549961389990048,-0.0876920832216669,0.4107875332957711,0.3933806054538492
33,Cameroun,2005,tourisme,-0.2458575755632002,-0.0876920832216669,0.4107875332957711,-0.19251496153323205
34,Canada,2005,tourisme,-0.3546548608830749,-0.0876920832216669,0.4107875332957711,-0.32494021364225795
35,Cap-Vert,2005,tourisme,0.8277945748027795,-0.0876920832216669,0.4107875332957711,1.1143067690972097
36,Chili,2005,tourisme,0.03257260134853185,-0.0876920832216669,0.4107875332957711,0.1463830749746816
37,Chine,2005,tourisme,-0.5168126050420311,-0.0876920832216669,0.4107875332957711,-0.5223144412118674
38,Chypre,2005,tourisme,0.038708021523468424,-0.0876920832216669,0.4107875332957711,0.15385095030881327
39,Colombie,2005,tourisme,-0.1668555304229574,-0.0876920832216669,0.4107875332957711,-0.09635570798139585
40,Comores,2005,tourisme,-0.4510813809832143,-0.0876920832216669,0.4107875332957711,-0.4423080891063745
